问题类型,测试范围,overall_score,comparison_overall_score,policy_faithfulness,policy_answer_relevance,policy_correctness,provider_faithfulness,provider_answer_relevance,provider_correctness,query_alignment
Type 1,1-5,0.8376,0.8566,0.98,0.82,0.64,0.98,0.8,0.54,0.96
Type 2,6-10,0.8688,0.8662,1.0,0.82,0.8,1.0,0.8,0.82,0.94
Type 3,11-15,0.867,0.8616,1.0,0.94,0.7,0.98,0.84,0.82,0.96
Type 4,16-20,0.7764,0.795,0.96,0.82,0.42,1.0,0.54,0.66,0.9
Type 5,21-25,0.8452,0.8528,1.0,0.92,0.56,1.0,0.88,0.6,0.92
Type 6,26-30,0.775,0.7956,0.8,0.72,0.5,1.0,0.84,0.5,0.84
Type 7,31-35,0.8068,0.7866,1.0,0.96,0.66,1.0,0.82,0.68,0.76
Type 8,36-40,0.8104,0.8358,0.9,0.68,0.5,1.0,0.82,0.6,0.82
Type 9,41-45,0.8306,0.7922,1.0,1.0,0.8,1.0,0.92,0.8,0.96
Type 10,46-50,0.8594,0.8652,1.0,0.98,0.82,0.96,0.86,0.46,0.98
Type 11,51-55,0.8282,0.8346,0.92,0.82,0.5,1.0,0.88,0.76,0.88
Type 12,56-60,0.8478,0.8748,1.0,0.88,0.5,1.0,0.82,0.5,0.98
